chapter,figure,file_name,relative_path,rows,columns,column_names
2. Technical Performance,fig_2.4.1,fig_2.4.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.1.csv,14,3,"Model, Year, Accuracy (%)"
2. Technical Performance,fig_2.4.10,fig_2.4.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.10.csv,32,3,"domain, model_planner, solved_tasks"
2. Technical Performance,fig_2.4.2,fig_2.4.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.2.csv,3,3,"year, method, metric"
2. Technical Performance,fig_2.4.3,fig_2.4.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.3.csv,15,2,"AI System, ARC-AGI-2 (%)"
2. Technical Performance,fig_2.4.4,fig_2.4.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.4.csv,2,3,"year, model, accuracy"
2. Technical Performance,fig_2.4.6(1),fig_2.4.6(1).csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.6(1).csv,7,2,"Model, Value"
2. Technical Performance,fig_2.4.6,fig_2.4.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.6.csv,7,2,"Model, Value"
2. Technical Performance,fig_2.4.7,fig_2.4.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.7.csv,7,2,"Model, Value"
2. Technical Performance,fig_2.4.8(1),fig_2.4.8(1).csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.8(1).csv,15,2,"Model, Average accuracy (%)"
2. Technical Performance,fig_2.4.8,fig_2.4.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.8.csv,15,2,"Model, Average accuracy (%)"
2. Technical Performance,fig_2.4.9,fig_2.4.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.4.9.csv,32,3,"domain, model_planner, solved_tasks"
2. Technical Performance,fig_2.5.1,fig_2.5.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.1.csv,20,3,"Model, Type, Percent resolved"
2. Technical Performance,fig_2.5.10,fig_2.5.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.10.csv,15,2,"Model, Accuracy"
2. Technical Performance,fig_2.5.11,fig_2.5.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.11.csv,15,2,"Model, Accuracy"
2. Technical Performance,fig_2.5.12,fig_2.5.12.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.12.csv,15,2,"Model, Accuracy"
2. Technical Performance,fig_2.5.13,fig_2.5.13.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.13.csv,15,2,"Model, Accuracy"
2. Technical Performance,fig_2.5.2,fig_2.5.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.2.csv,13,2,"month_year, metric_trend"
2. Technical Performance,fig_2.5.3,fig_2.5.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.3.csv,8,2,"Model, Accuracy"
2. Technical Performance,fig_2.5.4,fig_2.5.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.4.csv,2,3,"year, method, metric"
2. Technical Performance,fig_2.5.5,fig_2.5.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.5.csv,2,3,"release_date, model, accuracy"
2. Technical Performance,fig_2.5.7,fig_2.5.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.7.csv,9,2,"Model, Value"
2. Technical Performance,fig_2.5.8,fig_2.5.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.8.csv,15,2,"Model, Accuracy"
2. Technical Performance,fig_2.5.9,fig_2.5.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.5.9.csv,15,2,"Model, Accuracy"
2. Technical Performance,fig_2.6.1,fig_2.6.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.6.1.csv,5,3,"release_date, model, accuracy"
2. Technical Performance,fig_2.6.2,fig_2.6.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.6.2.csv,2,3,"year, method, metric"
2. Technical Performance,fig_2.6.3,fig_2.6.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.6.3.csv,4,3,"year, Model, Success Rate"
2. Technical Performance,fig_2.6.4,fig_2.6.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.6.4.csv,3,12,"year, Agent, LLM(s) Used, Low==Lite (%), Low==Lite (¬± %), Medium (%), Medium (¬± %), High (%), High (¬± %), All (%), All (¬± %), Running Time (hours)"
2. Technical Performance,fig_2.6.5,fig_2.6.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.6.5.csv,3,3,"Release Year, Model, Unguided % Solved"
2. Technical Performance,fig_2.6.6,fig_2.6.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.6.6.csv,7,2,"Model, Value"
2. Technical Performance,fig_2.7.1,fig_2.7.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.1.csv,4,3,"year, model, metric"
2. Technical Performance,fig_2.7.11,fig_2.7.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.11.csv,22,3,"Count, Crash Type Group, Label"
2. Technical Performance,fig_2.7.12,fig_2.7.12.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.12.csv,12,3,"Count, Crash Type Group, Label"
2. Technical Performance,fig_2.7.2,fig_2.7.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.2.csv,10,3,"Score, Team, Label"
2. Technical Performance,fig_2.7.3,fig_2.7.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.3.csv,5,3,"Model, Year, Overall SSR↑"
2. Technical Performance,fig_2.7.5,fig_2.7.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.5.csv,32,2,"Month-Year, Number of weekly paid trips (in thousands)"
2. Technical Performance,fig_2.7.7,fig_2.7.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.7.csv,4,2,"Year, Number of trips"
2. Technical Performance,fig_2.7.8,fig_2.7.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/2. Technical Performance/Data/fig_2.7.8.csv,13,3,"Dataset / Benchmark, Version (Year), Hours"
3. Responsible AI,fig_3.2.1,fig_3.2.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.2.1.csv,14,2,"Year, Number of AI incidents"
3. Responsible AI,fig_3.2.2,fig_3.2.2.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.2.2.csv,144,3,"Date, Number of AI incidents, Label"
3. Responsible AI,fig_3.2.5,fig_3.2.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.2.5.csv,15,2,"Model, Hallucination Rate"
3. Responsible AI,fig_3.2.6,fig_3.2.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.2.6.csv,26,2,"Model, Hallucination Rate"
3. Responsible AI,fig_3.3.1,fig_3.3.1.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.1.csv,8,2,"Average Maturity, Region"
3. Responsible AI,fig_3.3.10,fig_3.3.10.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.10.csv,11,2,"% of Respondents, Main obstacle"
3. Responsible AI,fig_3.3.11,fig_3.3.11.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.11.csv,14,3,"% of Organizations, Regulation, Year"
3. Responsible AI,fig_3.3.3,fig_3.3.3.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.3.csv,10,3,"% of Respondents, Number of AI Incidents, year"
3. Responsible AI,fig_3.3.4,fig_3.3.4.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.4.csv,12,3,"% of Respondents, Organizational Response to Incidents, Year"
3. Responsible AI,fig_3.3.5,fig_3.3.5.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.5.csv,30,5,"risk, perc_respondents_2024, perc_respondents_2025, pp_change, type"
3. Responsible AI,fig_3.3.6,fig_3.3.6.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.6.csv,20,3,"% of Respondents, Business function, Year"
3. Responsible AI,fig_3.3.7,fig_3.3.7.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.7.csv,12,3,"% of Respondents, Revenue in USD, Label"
3. Responsible AI,fig_3.3.8,fig_3.3.8.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.8.csv,19,3,"% of Respondents, Result, Year"
3. Responsible AI,fig_3.3.9,fig_3.3.9.csv,data/number/PUBLIC DATA_ 2026 AI INDEX REPORT/3. Responsible AI/Data/fig_3.3.9.csv,14,3,"% of Respondents, Obstacle, Year"
