Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
China,2013,51.9,20.0,36.0,,70.2,83.3,,48.0,62.6,71.6,72.0,25,30
China,2014,52.5,20.0,35.0,,69.9,82.9,,49.7,61.9,73.3,71.8,30,30
China,2015,52.7,20.0,40.0,,69.7,81.5,,52.1,63.0,74.2,71.8,25,30
China,2016,52.0,20.0,36.0,,69.7,74.3,,54.2,62.0,70.6,72.8,30,30
China,2017,57.4,48.3,41.6,60.7,70.0,73.0,92.5,53.9,63.4,71.8,73.6,20,20
China,2018,57.8,46.7,47.3,65.4,70.4,71.6,85.9,54.9,61.4,71.4,73.2,25,20
China,2019,58.4,49.9,49.1,75.2,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25,20
China,2020,59.5,60.9,46.0,76.3,70.4,67.9,67.5,76.8,64.4,71.1,72.4,20,20
China,2021,58.4,62.2,46.4,71.5,72.6,67.6,54.8,80.2,64.9,69.8,71.2,20,20
China,2022,48.0,43.7,39.3,37.4,71.2,64.2,11.1,68.8,57.2,70.0,73.2,20,20
China,2023,48.3,45.3,38.2,42.0,69.5,65.1,9.8,68.3,55.2,72.5,73.6,20,20
China,2024,48.5,46.9,41.6,39.5,69.1,65.7,8.1,68.1,57.8,71.8,73.6,20,20
China,2025,49.0,46.7,40.4,37.4,71.6,67.1,11.1,67.7,57.9,74.6,74.0,20,20
China,2026,48.3,40.9,42.3,38.6,69.3,67.8,4.4,68.7,57.9,76.1,73.4,20,20
France,1995,64.4,70.0,90.0,,60.8,15.7,,85.0,,80.5,77.8,50,50
France,1996,63.7,70.0,90.0,,60.6,8.3,,85.0,,81.4,77.8,50,50
France,1997,59.1,70.0,70.0,,38.1,9.6,,85.0,,81.5,77.8,50,50
France,1998,58.9,70.0,70.0,,38.2,8.6,,85.0,,81.2,77.8,50,50
France,1999,59.1,70.0,67.0,,42.4,7.6,,85.0,,82.4,77.8,50,50
France,2000,57.4,70.0,67.0,,35.1,12.5,,70.0,,83.9,77.8,50,50
France,2001,58.0,70.0,66.0,,33.9,18.9,,70.0,,85.0,78.0,50,50
France,2002,58.0,70.0,67.0,,37.2,15.7,,70.0,,82.7,79.6,50,50
France,2003,59.2,70.0,67.0,,41.3,15.7,,70.0,,87.0,81.4,50,50
France,2004,60.9,70.0,63.0,,44.3,14.5,,70.0,,86.4,79.8,70,50
France,2005,60.5,70.0,69.0,,44.8,10.9,,70.0,54.3,86.0,80.2,70,50
France,2006,61.1,70.0,71.0,,46.6,11.2,,88.0,56.5,85.6,82.4,50,50
France,2007,62.1,70.0,75.0,,46.3,13.5,,87.2,56.1,81.0,81.6,50,60
France,2008,64.7,70.0,74.0,,53.2,13.2,,88.0,56.4,81.2,81.0,60,70
France,2009,63.3,70.0,73.0,,50.9,14.5,,87.4,54.5,71.7,80.8,60,70
France,2010,64.2,80.0,69.0,,51.9,17.9,,86.3,54.7,79.7,82.5,50,70
France,2011,64.6,80.0,69.0,,52.3,16.4,,85.6,51.4,83.7,82.6,55,70
France,2012,63.2,80.0,68.0,,53.8,5.3,,83.7,51.6,82.3,82.1,55,70
France,2013,64.1,80.0,70.0,,53.0,5.6,,84.0,50.5,81.1,81.8,65,70
France,2014,63.5,80.0,69.9,,48.4,5.6,,79.9,51.8,76.1,82.8,70,70
France,2015,62.5,80.0,71.0,,47.5,2.5,,80.2,43.5,77.5,83.0,70,70
France,2016,62.3,80.0,69.0,,47.7,2.5,,78.4,43.5,79.1,83.0,70,70
France,2017,63.3,85.0,69.7,72.7,47.6,2.0,57.0,78.0,44.1,81.6,82.0,70,70
France,2018,63.9,84.0,65.1,72.7,47.3,2.7,60.8,80.2,45.0,81.6,81.9,75,70
France,2019,63.8,82.5,67.9,66.1,48.4,3.9,64.9,81.2,45.2,79.1,81.0,75,70
France,2020,66.0,85.9,83.3,71.2,48.8,4.5,67.1,82.5,46.1,76.7,81.4,75,70
France,2021,65.7,82.2,80.1,69.2,50.7,6.3,69.0,80.2,44.8,77.3,84.0,75,70
France,2022,65.9,93.8,75.9,85.5,52.1,0.5,39.1,81.9,58.8,79.1,79.2,75,70
France,2023,63.6,93.0,83.9,75.5,52.9,0.0,20.0,78.2,59.2,76.9,78.6,75,70
France,2024,62.5,93.1,73.7,84.2,53.1,0.0,6.9,82.0,60.5,71.6,79.2,75,70
France,2025,64.4,92.9,74.3,84.2,54.3,0.0,30.0,81.9,60.2,70.3,79.6,75,70
France,2026,64.6,91.2,73.4,84.7,54.6,0.9,34.8,78.4,59.1,73.2,79.4,75,70
Germany,1995,69.8,90.0,90.0,,33.2,30.6,,85.0,,81.6,77.8,70,70
Germany,1996,69.1,90.0,90.0,,44.0,27.1,,70.0,,83.5,77.8,70,70
Germany,1997,67.5,90.0,81.0,,37.8,28.0,,70.0,,85.6,75.0,70,70
Germany,1998,64.3,90.0,83.0,,37.8,26.8,,55.0,,87.0,79.4,70,50
Germany,1999,65.6,90.0,82.0,,38.3,24.1,,70.0,,86.6,79.4,70,50
Germany,2000,65.7,90.0,79.0,,38.6,28.0,,70.0,,88.1,78.0,70,50
Germany,2001,69.5,90.0,80.0,,44.7,33.7,,70.0,,89.4,78.0,90,50
Germany,2002,70.4,90.0,76.0,,53.3,36.5,,70.0,,88.0,79.6,90,50
Germany,2003,69.7,90.0,74.0,,55.7,30.0,,70.0,,86.6,81.4,90,50
Germany,2004,69.5,90.0,73.0,,56.4,29.4,,70.0,,87.1,79.8,90,50
Germany,2005,68.1,90.0,77.0,,58.4,28.6,,70.0,48.7,88.1,80.2,90,50
Germany,2006,70.8,90.0,82.0,,60.8,31.7,,89.1,44.4,87.1,82.4,90,50
Germany,2007,70.8,90.0,82.0,,61.4,33.7,,88.9,44.2,81.5,86.6,90,50
Germany,2008,70.6,90.0,80.0,,58.4,34.0,,89.9,46.3,81.4,86.0,80,60
Germany,2009,70.5,90.0,78.0,,58.5,38.2,,90.3,43.4,80.8,85.8,80,60
Germany,2010,71.1,90.0,79.0,,58.3,41.4,,89.6,39.9,79.9,87.5,85,60
Germany,2011,71.8,90.0,80.0,,58.5,42.7,,89.6,40.6,83.9,87.6,85,60
Germany,2012,71.0,90.0,79.0,,61.3,32.2,,90.5,41.4,83.5,87.1,85,60
Germany,2013,72.8,90.0,80.0,,61.8,37.3,,92.1,43.8,81.2,86.8,85,70
Germany,2014,73.4,90.0,80.1,,61.2,38.2,,89.9,46.4,80.8,87.8,90,70
Germany,2015,73.8,90.0,78.0,,60.8,40.1,,88.2,51.2,81.5,88.0,90,70
Germany,2016,74.4,90.0,79.0,,61.5,41.3,,90.0,50.6,83.3,88.0,90,70
Germany,2017,73.8,82.9,77.7,79.5,61.9,41.4,89.9,86.6,42.8,85.9,87.0,80,70
Germany,2018,74.2,81.0,75.3,78.0,61.3,41.3,90.8,86.1,53.3,86.2,86.9,80,70
Germany,2019,73.5,79.9,81.3,75.4,60.8,42.3,91.8,83.3,52.8,77.9,86.0,80,70
Germany,2020,73.5,80.5,82.8,74.3,60.9,42.2,92.9,82.8,53.0,76.7,86.4,80,70
Germany,2021,72.5,78.8,81.5,69.8,60.4,40.3,92.8,82.4,53.0,77.2,84.0,80,70
Germany,2022,76.1,95.7,89.4,95.3,59.9,34.5,90.4,87.2,52.3,79.5,79.2,80,70
Germany,2023,73.7,94.8,93.1,89.4,60.2,28.3,82.7,79.7,52.8,75.3,78.6,80,70
Germany,2024,72.1,95.3,86.0,93.0,59.3,24.1,71.9,84.2,53.7,68.8,79.2,80,70
Germany,2025,71.6,95.4,86.0,93.5,60.5,26.9,81.1,83.7,53.3,69.0,79.6,60,70
Germany,2026,71.7,95.5,84.5,94.6,60.5,28.8,83.1,79.8,52.2,72.5,79.4,60,70
Italy,1995,61.2,70.0,70.0,,43.6,3.6,,85.0,,81.1,77.8,70,50
Italy,1996,60.8,70.0,90.0,,42.2,0.1,,70.0,,77.0,77.8,70,50
Italy,1997,58.1,70.0,30.0,,43.2,10.6,,70.0,,81.1,77.8,70,70
Italy,1998,59.1,70.0,34.0,,43.3,14.5,,70.0,,81.9,77.8,70,70
Italy,1999,61.6,70.0,50.0,,46.9,15.1,,70.0,,84.5,77.8,70,70
Italy,2000,61.9,70.0,46.0,,45.6,22.0,,70.0,,85.7,77.8,70,70
Italy,2001,63.0,70.0,47.0,,47.1,28.0,,70.0,,86.5,78.0,70,70
Italy,2002,63.6,70.0,46.0,,48.0,33.7,,70.0,,85.5,79.6,70,70
Italy,2003,64.3,70.0,55.0,,48.0,29.4,,70.0,,84.7,81.4,70,70
Italy,2004,64.2,70.0,52.0,,49.7,31.7,,70.0,,84.8,79.8,70,70
Italy,2005,64.9,70.0,53.0,,49.6,27.4,,70.0,74.5,84.7,80.2,70,70
Italy,2006,62.0,50.0,48.0,,52.0,29.1,,78.4,74.6,85.2,82.4,70,50
Italy,2007,62.8,50.0,50.0,,52.8,31.5,,77.0,74.4,80.5,81.6,70,60
Italy,2008,62.6,50.0,49.0,,54.3,29.4,,77.0,74.5,80.6,81.0,70,60
Italy,2009,61.4,50.0,52.0,,55.8,24.7,,78.7,61.3,80.8,80.8,70,60
Italy,2010,62.7,55.0,48.0,,55.2,31.2,,77.9,58.2,79.0,87.5,75,60
Italy,2011,60.3,50.0,43.0,,55.4,28.6,,77.3,44.4,82.1,87.6,75,60
Italy,2012,58.8,50.0,39.0,,55.0,19.4,,77.4,43.0,82.0,87.1,75,60
Italy,2013,60.6,50.0,39.0,,55.5,25.3,,76.9,52.0,80.2,86.8,80,60
Italy,2014,60.9,50.0,38.5,,55.5,25.6,,75.5,52.5,78.9,87.8,85,60
Italy,2015,61.7,55.0,43.0,,54.2,23.2,,71.9,55.4,81.2,88.0,85,60
Italy,2016,61.2,50.0,43.0,,55.8,22.1,,70.3,53.0,84.5,88.0,85,60
Italy,2017,62.5,74.6,44.7,55.4,54.9,22.3,66.9,69.8,52.9,86.9,87.0,85,50
Italy,2018,62.5,71.2,40.1,60.9,55.2,24.1,68.2,70.3,50.3,88.2,86.9,85,50
Italy,2019,62.2,71.7,43.7,49.8,55.6,26.5,71.3,71.7,51.1,84.0,86.0,85,50
Italy,2020,63.8,75.4,62.2,51.3,56.0,28.5,71.1,70.4,50.9,83.2,86.4,80,50
Italy,2021,64.9,75.7,63.7,62.3,58.1,28.9,73.0,68.1,50.5,84.2,84.0,80,50
Italy,2022,65.4,81.7,57.3,78.6,57.7,20.6,49.0,73.8,70.4,86.2,79.2,80,50
Italy,2023,62.3,81.2,77.9,61.1,57.3,13.7,20.4,73.8,70.6,82.6,78.6,80,50
Italy,2024,60.1,81.6,60.7,77.7,57.0,2.5,0.0,77.6,70.7,74.1,79.2,80,60
Italy,2025,60.9,82.2,60.6,78.8,57.4,9.5,0.0,77.6,70.7,74.2,79.6,80,60
Italy,2026,63.3,84.8,60.8,80.9,57.5,15.3,17.2,74.5,70.6,79.1,79.4,80,60
Japan,1995,75.0,90.0,90.0,,53.6,67.7,,85.0,,87.0,82.0,50,70
Japan,1996,72.6,90.0,90.0,,53.6,63.9,,85.0,,88.9,82.0,50,50
Japan,1997,70.3,90.0,67.0,,54.2,63.0,,85.0,,92.0,81.0,50,50
Japan,1998,70.2,90.0,71.0,,53.8,60.9,,85.0,,92.9,79.0,50,50
Japan,1999,69.1,90.0,66.0,,53.9,59.8,,85.0,,88.2,79.0,50,50
Japan,2000,70.7,90.0,58.0,,70.1,63.3,,85.0,,89.0,81.0,50,50
Japan,2001,70.9,90.0,60.0,,70.4,58.9,,85.0,,92.8,80.6,50,50
Japan,2002,66.7,70.0,64.0,,70.7,54.4,,70.0,,90.6,80.4,50,50
Japan,2003,67.6,70.0,71.0,,70.3,56.7,,70.0,,89.8,81.0,50,50
Japan,2004,64.3,70.0,71.0,,62.4,55.1,,70.0,,89.2,80.8,50,30
Japan,2005,67.3,70.0,70.0,,70.7,57.6,,70.0,83.3,90.6,80.6,50,30
Japan,2006,73.3,70.0,69.0,,70.9,58.3,,87.2,84.4,92.5,80.2,70,50
Japan,2007,72.7,70.0,73.0,,70.9,58.3,,91.2,83.0,90.9,80.2,60,50
Japan,2008,73.0,70.0,76.0,,70.3,56.2,,88.1,85.1,94.3,80.0,60,50
Japan,2009,72.8,70.0,75.0,,67.5,61.1,,85.8,82.5,93.6,82.0,60,50
Japan,2010,72.9,80.0,73.0,,67.2,61.1,,84.5,82.4,88.8,82.4,60,50
Japan,2011,72.8,80.0,77.0,,67.0,58.7,,83.8,81.1,87.9,82.6,60,50
Japan,2012,71.6,80.0,78.0,,67.1,47.0,,81.8,81.4,88.9,81.8,60,50
Japan,2013,71.8,80.0,80.0,,69.2,45.0,,81.3,80.3,90.6,81.8,60,50
Japan,2014,72.4,80.0,77.8,,69.2,47.1,,80.0,79.8,87.5,82.4,70,50
Japan,2015,73.3,80.0,74.0,,68.7,47.1,,84.1,90.2,86.7,82.6,70,50
Japan,2016,73.1,80.0,76.0,,68.5,46.2,,82.5,83.9,81.2,82.6,70,60
Japan,2017,69.6,89.4,86.1,73.8,68.5,52.3,9.5,82.3,77.5,83.0,82.6,70,60
Japan,2018,72.3,86.0,79.2,73.2,67.4,54.1,49.3,81.7,79.2,85.4,82.3,70,60
Japan,2019,72.1,84.1,78.0,68.5,68.2,55.0,55.7,80.5,79.0,85.9,80.0,70,60
Japan,2020,73.3,86.6,80.5,71.4,68.3,55.8,62.0,81.4,78.7,84.4,80.0,70,60
Japan,2021,74.1,87.8,82.0,75.5,67.8,57.8,67.5,85.9,79.0,85.1,80.4,60,60
Japan,2022,69.9,94.6,81.4,95.3,67.4,52.5,19.7,78.3,66.6,87.1,75.4,60,60
Japan,2023,69.3,94.1,94.7,80.7,68.1,48.4,18.1,78.3,66.8,87.1,75.2,60,60
Japan,2024,67.5,94.6,82.6,93.6,63.3,42.5,0.0,77.5,68.6,81.7,75.8,70,60
Japan,2025,70.2,95.1,82.8,96.0,62.5,47.5,41.6,78.0,67.8,74.4,76.2,60,60
Japan,2026,70.3,94.2,81.1,97.9,63.0,52.0,41.7,77.8,65.9,74.3,76.2,60,60
United Kingdom,1995,77.9,90.0,90.0,,61.3,37.3,,100.0,,85.0,77.8,70,90
United Kingdom,1996,76.4,90.0,90.0,,62.1,37.3,,85.0,,85.2,77.8,70,90
United Kingdom,1997,76.4,90.0,90.0,,61.7,39.3,,85.0,,84.0,77.8,70,90
United Kingdom,1998,76.5,90.0,90.0,,60.8,40.3,,85.0,,84.7,77.8,70,90
United Kingdom,1999,76.2,90.0,82.0,,62.3,44.5,,85.0,,84.1,77.8,70,90
United Kingdom,2000,77.3,90.0,87.0,,62.5,49.6,,85.0,,83.6,77.8,70,90
United Kingdom,2001,77.6,90.0,86.0,,61.7,52.0,,85.0,,85.7,78.0,70,90
United Kingdom,2002,78.5,90.0,87.0,,61.5,58.9,,85.0,,84.7,79.6,70,90
United Kingdom,2003,77.5,90.0,83.0,,60.9,51.0,,85.0,,85.9,81.4,70,90
United Kingdom,2004,77.7,90.0,87.0,,61.2,50.1,,85.0,,86.6,79.8,70,90
United Kingdom,2005,79.2,90.0,87.0,,62.3,43.5,,85.0,79.0,85.0,80.2,90,90
United Kingdom,2006,80.4,90.0,86.0,,62.3,43.5,,91.5,81.1,86.7,82.4,90,90
United Kingdom,2007,79.9,90.0,86.0,,62.0,42.7,,91.2,79.0,81.3,86.6,90,90
United Kingdom,2008,79.4,90.0,86.0,,61.2,40.1,,90.8,79.5,80.7,86.0,90,90
United Kingdom,2009,79.0,90.0,84.0,,61.0,40.3,,89.8,78.5,80.4,85.8,90,90
United Kingdom,2010,76.5,85.0,77.0,,61.8,41.9,,94.9,72.8,73.7,87.5,90,80
United Kingdom,2011,74.5,85.0,77.0,,52.0,32.9,,94.6,71.2,74.9,87.6,90,80
United Kingdom,2012,74.1,90.0,76.0,,56.4,21.5,,94.7,71.5,73.9,87.1,90,80
United Kingdom,2013,74.8,90.0,78.0,,57.0,27.7,,94.1,71.6,72.4,86.8,90,80
United Kingdom,2014,74.9,90.0,76.4,,56.6,29.5,,92.0,73.1,73.5,87.8,90,80
United Kingdom,2015,75.8,90.0,76.0,,62.9,30.3,,91.1,75.6,74.4,88.0,90,80
United Kingdom,2016,76.4,90.0,78.0,,64.9,39.0,,86.0,71.8,76.4,88.0,90,80
United Kingdom,2017,76.4,93.8,78.3,93.0,65.1,41.9,40.4,89.9,72.8,85.0,87.0,90,80
United Kingdom,2018,78.0,92.2,79.0,93.8,65.2,44.4,53.5,91.1,74.4,85.2,86.9,90,80
United Kingdom,2019,78.9,92.3,83.8,85.9,64.7,48.2,68.6,92.9,73.5,81.2,86.0,90,80
United Kingdom,2020,79.3,92.2,89.9,82.7,64.7,49.5,78.1,94.7,73.1,80.3,86.4,80,80
United Kingdom,2021,78.4,87.6,86.5,76.7,64.9,54.8,77.3,94.4,73.2,81.0,84.0,80,80
United Kingdom,2022,72.7,96.2,87.1,85.9,65.4,46.3,22.6,79.1,62.1,83.0,84.2,80,80
United Kingdom,2023,69.9,95.1,84.8,86.4,65.4,41.9,1.8,79.1,62.2,80.8,81.8,80,80
United Kingdom,2024,68.6,94.6,84.1,84.3,62.3,34.3,0.0,82.7,63.2,73.6,83.6,80,80
United Kingdom,2025,69.3,95.2,83.4,84.8,61.0,40.1,19.0,83.4,63.2,67.9,83.4,70,80
United Kingdom,2026,70.4,93.6,83.0,83.1,61.7,41.1,32.4,83.6,61.2,71.9,82.8,70,80
United States,1995,76.7,90.0,90.0,,64.8,57.8,,85.0,,83.8,78.4,70,70
United States,1996,76.7,90.0,90.0,,64.7,57.8,,85.0,,84.5,78.4,70,70
United States,1997,75.6,90.0,78.0,,64.5,60.0,,85.0,,84.5,78.4,70,70
United States,1998,75.4,90.0,77.0,,64.3,60.3,,85.0,,84.3,78.4,70,70
United States,1999,75.5,90.0,76.0,,64.1,61.3,,85.0,,85.0,78.4,70,70
United States,2000,76.4,90.0,75.0,,63.8,69.3,,85.0,,86.3,78.4,70,70
United States,2001,79.1,90.0,75.0,,63.5,71.2,,85.0,,85.9,81.0,70,90
United States,2002,78.4,90.0,78.0,,63.4,65.3,,85.0,,84.1,79.4,70,90
United States,2003,78.2,90.0,76.0,,63.5,63.5,,85.0,,84.2,81.4,70,90
United States,2004,78.7,90.0,77.0,,67.2,62.2,,85.0,,85.9,81.4,70,90
United States,2005,79.9,90.0,75.0,,68.6,60.0,,85.0,95.4,85.7,79.8,70,90
United States,2006,81.2,90.0,75.0,,68.9,61.1,,93.2,97.8,85.0,81.4,70,90
United States,2007,81.2,90.0,76.0,,69.0,60.3,,91.4,94.7,83.8,86.6,80,80
United States,2008,81.0,90.0,73.0,,68.3,59.8,,92.6,95.4,83.7,86.8,80,80
United States,2009,80.7,90.0,72.0,,67.5,59.6,,91.9,95.1,84.0,86.8,80,80
United States,2010,78.0,85.0,73.0,,67.5,58.0,,91.3,94.8,78.1,86.9,75,70
United States,2011,77.8,85.0,75.0,,68.3,54.6,,91.0,95.7,77.4,86.4,75,70
United States,2012,76.3,85.0,71.0,,69.8,46.7,,91.1,95.8,77.2,86.4,70,70
United States,2013,76.0,85.0,71.0,,69.3,47.8,,90.5,95.5,75.0,86.4,70,70
United States,2014,75.5,80.0,72.0,,65.8,48.1,,89.2,97.2,75.4,86.8,70,70
United States,2015,76.2,80.0,73.0,,66.2,51.8,,88.8,98.5,76.6,87.0,70,70
United States,2016,75.4,80.0,74.0,,65.6,54.7,,84.7,91.4,77.0,87.0,70,70
United States,2017,75.1,81.3,78.1,75.1,65.3,55.9,53.3,84.4,91.0,80.1,87.1,80,70
United States,2018,75.7,79.3,71.9,76.9,65.1,56.5,54.8,82.7,91.4,78.6,86.7,85,80
United States,2019,76.8,79.3,77.4,78.6,75.1,57.1,53.1,83.8,89.4,76.6,86.6,85,80
United States,2020,76.6,81.8,77.2,83.7,74.6,56.5,54.3,83.3,87.9,75.5,79.8,85,80
United States,2021,74.8,79.7,76.8,72.4,76.0,62.2,34.9,82.5,87.1,81.1,80.4,85,80
United States,2022,72.1,95.7,75.7,77.9,75.9,54.5,0.0,87.5,75.8,82.3,75.2,85,80
United States,2023,70.6,94.7,76.1,73.4,75.4,49.3,0.0,83.8,76.3,78.0,75.4,85,80
United States,2024,70.1,95.1,76.4,74.8,74.8,48.7,0.0,84.8,77.7,73.8,75.6,80,80
United States,2025,70.2,95.4,77.3,76.6,75.6,55.8,0.0,88.5,77.0,70.7,75.6,70,80
United States,2026,72.8,91.6,77.1,76.4,75.3,57.9,18.5,88.6,76.3,84.2,67.6,80,80
