Country,Framing,Category,Rule,Weight,Matched text,Sentence
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,"• Led by the Office of Management and Budget (OMB) and consistent with Executive Order 14192 of January 31, 2025, “Unleashing Prosperity Through Deregulation,” work with all Federal agencies to identify, revise, or repeal regulations, rules, memoranda, administrative orders, guidance documents, policy statements, and interagency agreements that unnecessarily hinder AI development or deployment.4 • Led by OMB, work with Federal agencies that have AI-related discretionary funding programs to ensure, consistent with applicable law, that they consider a state’s AI regulatory climate when making funding decisions and limit funding if the state’s AI regulatory regimes may hinder the effectiveness of that funding or award."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,"• Led by the Office of Management and Budget (OMB) and consistent with Executive Order 14192 of January 31, 2025, “Unleashing Prosperity Through Deregulation,” work with all Federal agencies to identify, revise, or repeal regulations, rules, memoranda, administrative orders, guidance documents, policy statements, and interagency agreements that unnecessarily hinder AI development or deployment.4 • Led by OMB, work with Federal agencies that have AI-related discretionary funding programs to ensure, consistent with applicable law, that they consider a state’s AI regulatory climate when making funding decisions and limit funding if the state’s AI regulatory regimes may hinder the effectiveness of that funding or award."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,"• Led by the Office of Management and Budget (OMB) and consistent with Executive Order 14192 of January 31, 2025, “Unleashing Prosperity Through Deregulation,” work with all Federal agencies to identify, revise, or repeal regulations, rules, memoranda, administrative orders, guidance documents, policy statements, and interagency agreements that unnecessarily hinder AI development or deployment.4 • Led by OMB, work with Federal agencies that have AI-related discretionary funding programs to ensure, consistent with applicable law, that they consider a state’s AI regulatory climate when making funding decisions and limit funding if the state’s AI regulatory regimes may hinder the effectiveness of that funding or award."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,"• Led by the Office of Management and Budget (OMB) and consistent with Executive Order 14192 of January 31, 2025, “Unleashing Prosperity Through Deregulation,” work with all Federal agencies to identify, revise, or repeal regulations, rules, memoranda, administrative orders, guidance documents, policy statements, and interagency agreements that unnecessarily hinder AI development or deployment.4 • Led by OMB, work with Federal agencies that have AI-related discretionary funding programs to ensure, consistent with applicable law, that they consider a state’s AI regulatory climate when making funding decisions and limit funding if the state’s AI regulatory regimes may hinder the effectiveness of that funding or award."
United States,AI-cautious,restrictive governance,restrict/prohibit/control AI,2.2,limit funding if the state’s AI,"• Led by the Office of Management and Budget (OMB) and consistent with Executive Order 14192 of January 31, 2025, “Unleashing Prosperity Through Deregulation,” work with all Federal agencies to identify, revise, or repeal regulations, rules, memoranda, administrative orders, guidance documents, policy statements, and interagency agreements that unnecessarily hinder AI development or deployment.4 • Led by OMB, work with Federal agencies that have AI-related discretionary funding programs to ensure, consistent with applicable law, that they consider a state’s AI regulatory climate when making funding decisions and limit funding if the state’s AI regulatory regimes may hinder the effectiveness of that funding or award."
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,Safe,"Furthermore, review all FTC final orders, consent decrees, 3 4 5 Executive Order 14110 of October 30, 2023, “Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence,” Federal Register 88 (210) 75191, www.govinfo.gov/content/pkg/FR-2023-11-01/pdf/2023-24283.pdf."
United States,AI-cautious,rights and protection emphasis,rights/privacy/protection framing,1.1,Trustworthy,"Furthermore, review all FTC final orders, consent decrees, 3 4 5 Executive Order 14110 of October 30, 2023, “Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence,” Federal Register 88 (210) 75191, www.govinfo.gov/content/pkg/FR-2023-11-01/pdf/2023-24283.pdf."
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,Risk,"Recommended Policy Actions • Led by the Department of Commerce (DOC) through the National Institute of Standards and Technology (NIST), revise the NIST AI Risk Management Framework to eliminate references to misinformation, Diversity, Equity, and Inclusion, and climate change."
United States,AI-cautious,rights and protection emphasis,rights/privacy/protection framing,1.1,bias,6 • Update Federal procurement guidelines to ensure that the government only contracts with frontier large language model (LLM) developers who ensure that their systems are objective and free from top-down ideological bias.
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,Encourage Open-Source and Open-Weight AI Open-source and open-weight AI,Encourage Open-Source and Open-Weight AI Open-source and open-weight AI models are made freely available by developers for anyone in the world to download and modify.
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,Risk,"Currently, a company seeking to use largescale compute must often sign long-term contracts with hyperscalers—far beyond the 6 National Institute of Standards and Technology, “Artificial Intelligence Risk Management Framework (AI RMF 1.0),” (Gaithersburg, MD: National Institute of Standards and Technology, 2023), www.doi.org/10.6028/NIST.AI.100-1."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,foster the next generation of AI breakthroughs by publishing a new National AI,"• Continue to foster the next generation of AI breakthroughs by publishing a new National AI Research and Development (R&D) Strategic Plan, led by OSTP, to guide Federal AI research investments."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,"Enable AI Adoption Today, the bottleneck to harnessing AI","Enable AI Adoption Today, the bottleneck to harnessing AI’s full potential is not necessarily the availability of models, tools, or applications."
United States,AI-cautious,restrictive governance,restrict/prohibit/control AI,2.2,limited and slow adoption of AI,"Rather, it is the limited and slow adoption of AI, particularly within large, established organizations."
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,risk,"Many of America’s most critical sectors, such as healthcare, are especially slow to adopt due to a variety of factors, including distrust or lack of understanding of the technology, a complex regulatory landscape, and a lack of clear governance and risk mitigation standards."
United States,AI-friendly,deregulatory or flexible governance,regulatory sandbox,1.8,sandboxes,"Recommended Policy Actions • Establish regulatory sandboxes or AI Centers of Excellence around the country where researchers, startups, and established enterprises can rapidly deploy and test AI tools while committing to open sharing of data and results."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,support from DOC through its AI,"These efforts would be enabled by regulatory agencies such as the Food and Drug Administration (FDA) and the Securities and Exchange Commission (SEC), with support from DOC through its AI evaluation initiatives at NIST."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,accelerate the development and adoption of national standards for AI,"• Launch several domain-specific efforts (e.g., in healthcare, energy, and agriculture), led by NIST at DOC, to convene a broad range of public, private, and academic stakeholders to accelerate the development and adoption of national standards for AI systems and to measure how much AI increases productivity at realistic tasks in those domains."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,productivity,"• Launch several domain-specific efforts (e.g., in healthcare, energy, and agriculture), led by NIST at DOC, to convene a broad range of public, private, and academic stakeholders to accelerate the development and adoption of national standards for AI systems and to measure how much AI increases productivity at realistic tasks in those domains."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,"accelerating productivity and creating entirely new industries, AI","By accelerating productivity and creating entirely new industries, AI can help America build an economy that delivers more pathways to economic opportunity for American workers."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,productivity,"By accelerating productivity and creating entirely new industries, AI can help America build an economy that delivers more pathways to economic opportunity for American workers."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,"Recommended Policy Actions • Led by the Department of Labor (DOL), the Department of Education (ED), NSF, and DOC, prioritize AI skill development as a core objective of relevant education and workforce funding streams."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,promoting the integration of AI,"This should include promoting the integration of AI skill development into relevant programs, including career and technical education (CTE), workforce training, apprenticeships, and other federally supported skills initiatives."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,enable employers to offer tax-free reimbursement for AI,"• Led by the Department of the Treasury, issue guidance clarifying that many AI literacy and AI skill development programs may qualify as eligible educational assistance under Section 132 of the Internal Revenue Code, given AI’s widespread impact reshaping the tasks and skills required across industries and occupations.9 In applicable situations, this will enable employers to offer tax-free reimbursement for AI-related training and help scale private-sector investment in AI skill development, preserving jobs for American workers."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,"• Led by the Department of the Treasury, issue guidance clarifying that many AI literacy and AI skill development programs may qualify as eligible educational assistance under Section 132 of the Internal Revenue Code, given AI’s widespread impact reshaping the tasks and skills required across industries and occupations.9 In applicable situations, this will enable employers to offer tax-free reimbursement for AI-related training and help scale private-sector investment in AI skill development, preserving jobs for American workers."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,"• Led by DOL, leverage available discretionary funding, where appropriate, to fund rapid retraining for individuals impacted by AI-related job displacement."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,fund,"• Led by DOL, leverage available discretionary funding, where appropriate, to fund rapid retraining for individuals impacted by AI-related job displacement."
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,risk,"Issue clarifying guidance to help states identify eligible dislocated workers in sectors undergoing significant structural change tied to AI adoption, as well as guidance clarifying how state Rapid Response funds can be used to proactively upskill workers at risk of future displacement."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,Support Next-Generation Manufacturing AI,"10, 11 Support Next-Generation Manufacturing AI will enable a wide range of new innovations in the physical world: autonomous drones, selfdriving cars, robotics, and other inventions for which terminology does not yet exist."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,The Federal government should prioritize investment in these emerging technologies and usher in a new industrial renaissance.
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Invest,"Recommended Policy Actions • Invest in developing and scaling foundational and translational manufacturing technologies via DOD, DOC, DOE, NSF, and other Federal agencies using the Small Business Innovation Research program, the Small Business Technology Transfer program, research grants, CHIPS R&D programs, Stevenson-Wydler Technology Innovation Act authorities, Title III of the Defense Production Act, Other Transaction Authority, and other authorities."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Invest,"11 7 AMERICA’S AI ACTION PLAN Invest in AI-Enabled Science Like many other domains, science itself will be transformed by AI."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,invest,"Recommended Policy Actions • Through NSF, DOE, NIST at DOC, and other Federal partners, invest in automated cloud-enabled labs for a range of scientific fields, including engineering, materials science, chemistry, biology, and neuroscience, built by, as appropriate, the private sector, Federal agencies, and research institutions in coordination and collaboration with DOE National Laboratories."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,support Focused-Research Organizations or other similar entities using AI,• Use long-term agreements to support Focused-Research Organizations or other similar entities using AI and other emerging technologies to make fundamental scientific advancements.
United States,AI-cautious,rights and protection emphasis,rights/privacy/protection framing,1.1,privacy,"The United States must lead the creation of the world’s largest and highest quality AI-ready scientific datasets, while maintaining respect for individual rights and ensuring civil liberties, privacy, and confidentiality protections."
United States,AI-friendly,deregulatory or flexible governance,reduce regulatory burdens,2.5,lower barriers,"• Promulgate the OMB regulations required in the Confidential Information Protection and Statistical Efficiency Act of 2018 on presumption of accessibility and expanding secure access, which will lower barriers and break down silos to accessing Federal data, 8 AMERICA’S AI ACTION PLAN ultimately facilitating the improved use of AI for evidence building by statistical agencies while protecting confidential data from inappropriate access and use.16 • Establish secure compute environments within NSF and DOE to enable secure AI usecases for controlled access to restricted Federal data."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,facilitating the improved use of AI,"• Promulgate the OMB regulations required in the Confidential Information Protection and Statistical Efficiency Act of 2018 on presumption of accessibility and expanding secure access, which will lower barriers and break down silos to accessing Federal data, 8 AMERICA’S AI ACTION PLAN ultimately facilitating the improved use of AI for evidence building by statistical agencies while protecting confidential data from inappropriate access and use.16 • Establish secure compute environments within NSF and DOE to enable secure AI usecases for controlled access to restricted Federal data."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,enable secure AI,"• Promulgate the OMB regulations required in the Confidential Information Protection and Statistical Efficiency Act of 2018 on presumption of accessibility and expanding secure access, which will lower barriers and break down silos to accessing Federal data, 8 AMERICA’S AI ACTION PLAN ultimately facilitating the improved use of AI for evidence building by statistical agencies while protecting confidential data from inappropriate access and use.16 • Establish secure compute environments within NSF and DOE to enable secure AI usecases for controlled access to restricted Federal data."
United States,AI-friendly,open ecosystem and market access,open data/infrastructure/ecosystem,1.2,Ecosystem,"Department of Agriculture, DOE, NIH, NSF, the Department of Interior, and Cooperative Ecosystem Studies Units to collaborate on the development of an initiative to establish a whole genome sequencing program for life on Federal lands (to include all biological domains)."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,"It is imperative that the United States remain the leading pioneer of such breakthroughs, and this begins with strategic, targeted investment in the most promising paths at the frontier."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,"Recommended Policy Actions • Prioritize investment in theoretical, computational, and experimental research to preserve America’s leadership in discovering new and transformative paradigms that advance the capabilities of AI, reflecting this priority in the forthcoming National AI R&D Strategic Plan."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,leadership,"Recommended Policy Actions • Prioritize investment in theoretical, computational, and experimental research to preserve America’s leadership in discovering new and transformative paradigms that advance the capabilities of AI, reflecting this priority in the forthcoming National AI R&D Strategic Plan."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Invest,"Invest in AI Interpretability, Control, and Robustness Breakthroughs Today, the inner workings of frontier AI systems are poorly understood."
United States,AI-cautious,restrictive governance,restrict/prohibit/control AI,2.2,"Control, and Robustness Breakthroughs Today, the inner workings of frontier AI systems","Invest in AI Interpretability, Control, and Robustness Breakthroughs Today, the inner workings of frontier AI systems are poorly understood."
United States,AI-cautious,restrictive governance,restrict/prohibit/control AI,2.2,control systems,"Recommended Policy Actions • Launch a technology development program led by the Defense Advanced Research Projects Agency in collaboration with CAISI at DOC and NSF, to advance AI interpretability, AI control systems, and adversarial robustness."
United States,AI-cautious,restrictive governance,restrict/prohibit/control AI,2.2,"control, and robustness as part of the forthcoming National AI","9 AMERICA’S AI ACTION PLAN • Prioritize fundamental advancements in AI interpretability, control, and robustness as part of the forthcoming National AI R&D Strategic Plan."
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,vulnerabilities,"academia to test AI systems for transparency, effectiveness, use control, and security vulnerabilities."
United States,AI-friendly,open ecosystem and market access,open data/infrastructure/ecosystem,1.2,Ecosystem,Build an AI Evaluations Ecosystem Evaluations are how the AI industry assesses the performance and reliability of AI systems.
United States,AI-cautious,regulation as necessary,regulation required or necessary,2.5,should explore the use of evaluations in their application of existing law,"Over time, regulators should explore the use of evaluations in their application of existing law to AI systems."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,Support the development of the science of measuring and evaluating AI,"• Support the development of the science of measuring and evaluating AI models, led by NIST at DOC, DOE, NSF, and other Federal science agencies."
United States,AI-friendly,deregulatory or flexible governance,regulatory sandbox,1.8,testbeds,"• Invest, via DOE and NSF, in the development of AI testbeds for piloting AI systems in secure, real-world settings, allowing researchers to prototype new AI systems and translate them to the market."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Invest,"• Invest, via DOE and NSF, in the development of AI testbeds for piloting AI systems in secure, real-world settings, allowing researchers to prototype new AI systems and translate them to the market."
United States,AI-friendly,deregulatory or flexible governance,regulatory sandbox,1.8,testbeds,"Such testbeds would encourage participation by broad multistakeholder teams and span a wide variety of economic verticals touched by AI, including agriculture, transportation, and healthcare delivery."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,promote the development of AI,"• Led by DOC, convene the NIST AI Consortium to empower the collaborative establishment of new measurement science that will enable the identification of proven, scalable, and interoperable techniques and metrics to promote the development of AI."
United States,AI-friendly,open ecosystem and market access,open data/infrastructure/ecosystem,1.2,interoperable,"• Led by DOC, convene the NIST AI Consortium to empower the collaborative establishment of new measurement science that will enable the identification of proven, scalable, and interoperable techniques and metrics to promote the development of AI."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,Accelerate AI Adoption in Government With AI,"Accelerate AI Adoption in Government With AI tools in use, the Federal government can serve the public with far greater efficiency and effectiveness."
United States,AI-friendly,deregulatory or flexible governance,reduce regulatory burdens,2.5,reducing onerous rules,10 AMERICA’S AI ACTION PLAN OMB has already advanced AI adoption in government by reducing onerous rules imposed by the Biden Administration.
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Capital,"Through the CAIOC, initiate strategic coordination and collaboration with relevant Federal executive councils, to include: the President’s Management Council, Chief Data Officer Council, Chief Information Officer Council, Interagency Council on Statistical Policy, Chief Human Capital Officer Council, and Federal Privacy Council."
United States,AI-cautious,rights and protection emphasis,rights/privacy/protection framing,1.1,Privacy,"Through the CAIOC, initiate strategic coordination and collaboration with relevant Federal executive councils, to include: the President’s Management Council, Chief Data Officer Council, Chief Information Officer Council, Interagency Council on Statistical Policy, Chief Human Capital Officer Council, and Federal Privacy Council."
United States,AI-cautious,rights and protection emphasis,rights/privacy/protection framing,1.1,privacy,"This system would allow any Federal agency to easily choose among multiple models in a manner compliant with relevant privacy, data governance, and transparency laws."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,Accelerating Federal Use of AI through Innovation,"17 Office of Management and Budget, “Accelerating Federal Use of AI through Innovation, Governance, and Public Trust (M-2521),” (Washington, DC: Executive Office of the President, 2025), www.whitehouse.gov/wp-content/uploads/2025/02/M-2521-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,Accelerating-Federal-Use-of-AI-through-Innovation,"17 Office of Management and Budget, “Accelerating Federal Use of AI through Innovation, Governance, and Public Trust (M-2521),” (Washington, DC: Executive Office of the President, 2025), www.whitehouse.gov/wp-content/uploads/2025/02/M-2521-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,"enabling functions, aiming to develop a list of priority workflows for automation with AI","• Develop a streamlined process within DOD for classifying, evaluating, and optimizing workflows involved in its major operational and enabling functions, aiming to develop a list of priority workflows for automation with AI."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,"Foster AI-specific curriculum, including in AI","Foster AI-specific curriculum, including in AI use, development, and infrastructure management, in the Senior Military Colleges throughout majors."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,leadership,Protect Commercial and Government AI Innovations Maintaining American leadership in AI necessitates that the U.S.
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,risks,"government to effectively address security risks to American AI companies, talent, intellectual property, and systems."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,enable the private sector to actively protect AI,"Recommended Policy Actions • Led by DOD, DHS, CAISI at DOC, and other appropriate members of the IC, collaborate with leading American AI developers to enable the private sector to actively protect AI innovations from security risks, including malicious cyber actors, insider threats, and others."
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,risks,"Recommended Policy Actions • Led by DOD, DHS, CAISI at DOC, and other appropriate members of the IC, collaborate with leading American AI developers to enable the private sector to actively protect AI innovations from security risks, including malicious cyber actors, insider threats, and others."
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,threats,"Recommended Policy Actions • Led by DOD, DHS, CAISI at DOC, and other appropriate members of the IC, collaborate with leading American AI developers to enable the private sector to actively protect AI innovations from security risks, including malicious cyber actors, insider threats, and others."
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,risk,"Combat Synthetic Media in the Legal System One risk of AI that has become apparent to many Americans is malicious deepfakes, whether they be audio recordings, videos, or photos."
United States,AI-cautious,regulation as necessary,regulation required or necessary,2.5,must give the courts and law,The Administration must give the courts and law enforcement the tools they need to overcome these new challenges.
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Investment,"Since taking office, President Trump has already reformed National Environmental Policy Act (NEPA) regulations across almost every relevant Federal agency, jumpstarted a permitting technology modernization program, created the National Energy Dominance Council (NEDC), and launched the United States Investment Accelerator."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Investment,"24 Executive Order 14255 of March 31, 2025, “Establishing the United States Investment Accelerator,” Federal Register 90 (63) 14701, www.govinfo.gov/content/pkg/FR-2025-04-03/pdf/2025-05908.pdf."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,growth,"The United States must develop a comprehensive strategy to enhance and expand the power grid designed not just to weather these challenges, but to ensure the grid’s continued strength and capacity for future growth."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,"Reform power markets to align financial incentives with the goal of grid stability, ensuring that investment in power generation reflects the system’s needs."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,leadership,"chip industry will generate thousands of high-paying jobs, reinforce our technological leadership, and protect our supply chains from disruption by foreign rivals."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,"Recommended Policy Actions • Led by DOC’s revamped CHIPS Program Office, continue focusing on delivering a strong return on investment for the American taxpayer and removing all extraneous policy requirements for CHIPS-funded semiconductor manufacturing projects."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,accelerate the integration of advanced AI,"• Led by DOC, review semiconductor grant and research programs to ensure that they accelerate the integration of advanced AI tools into semiconductor manufacturing."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,support scalable and secure AI,• Advance agency adoption of classified compute environments to support scalable and secure AI workloads.
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,invest,"16 AMERICA’S AI ACTION PLAN Train a Skilled Workforce for AI Infrastructure To build the infrastructure needed to power America’s AI future, we must also invest in the workforce that will build, operate, and maintain it—including roles such as electricians, advanced HVAC technicians, and a host of other high-paying occupations."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,leadership,"To address the shortages in many of these critical jobs, the Trump Administration should identify the priority roles that underpin AI infrastructure, develop modern skills frameworks, support industrydriven training, and expand early pipelines through general education, CTE, and Registered Apprenticeships to fuel American AI leadership."
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,DOC should integrate these training models as a core workforce component of its infrastructure investment programs.
United States,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Funding,Funding for this strategy will be prioritized based on a program’s ability to address identified pipeline gaps and deliver talent outcomes aligned to employer demand.
United States,AI-friendly,deregulatory or flexible governance,reduce regulatory burdens,2.5,streamlining the launch of new programs in priority industries and occupations and removing barriers,"Efforts should focus on streamlining the launch of new programs in priority industries and occupations and removing barriers to employer adoption, including simplifying registration, supporting intermediaries, and aligning program design with employer needs."
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,threats,"With continued adoption of AI-enabled cyberdefensive tools, providers of critical infrastructure can stay ahead of emerging threats."
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,threats,"However, the use of AI in cyber and critical infrastructure exposes those AI systems to adversarial threats."
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,safety,"All use of AI in safety-critical or homeland security applications should entail the use of secure-by-design, robust, and resilient AI systems that are instrumented to detect performance shifts, and alert to potential malicious activities like data poisoning or adversarial example attacks."
United States,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,promote the sharing of AI,"Recommended Policy Actions • Establish an AI Information Sharing and Analysis Center (AI-ISAC), led by DHS, in collaboration with CAISI at DOC and the Office of the National Cyber Director, to promote the sharing of AI-security threat information and intelligence across U.S."
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,threat,"Recommended Policy Actions • Establish an AI Information Sharing and Analysis Center (AI-ISAC), led by DHS, in collaboration with CAISI at DOC and the Office of the National Cyber Director, to promote the sharing of AI-security threat information and intelligence across U.S."
United States,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,vulnerabilities,"• Led by DHS, issue and maintain guidance to private sector entities on remediating and responding to AI-specific vulnerabilities and threats."
